collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2024-01-20,02013,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02016,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02020,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02050,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02060,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02068,AK,4,3.6,33.3,2.5,-1.2,1.7,1.7
2024-01-20,02070,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02090,AK,4,3.6,33.3,2.5,-1.2,1.7,1.7
2024-01-20,02100,AK,1,2.1,-75,1.1,-0.7,0.8,-0.8
2024-01-20,02105,AK,1,2.1,-75,1.1,-0.7,0.8,-0.8
2024-01-20,02110,AK,1,2.1,-75,1.1,-0.7,0.8,-0.8
2024-01-20,02122,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02130,AK,0,0,0,0,0,,
2024-01-20,02150,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02158,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02164,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02170,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02180,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02185,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02188,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02195,AK,0,0,0,0,0,,
2024-01-20,02198,AK,0,0,0,0,0,,
2024-01-20,02220,AK,1,2.1,-75,1.1,-0.7,0.8,-0.8
2024-01-20,02230,AK,1,2.1,-75,1.1,-0.7,0.8,-0.8
2024-01-20,02240,AK,4,3.6,33.3,2.5,-1.2,1.7,1.7
2024-01-20,02261,AK,35,6.4,40,2.5,0.3,3.8,0.3
2024-01-20,02275,AK,0,0,0,0,0,,
2024-01-20,02282,AK,1,2.1,-75,1.1,-0.7,0.8,-0.8
2024-01-20,02290,AK,4,3.6,33.3,2.5,-1.2,1.7,1.7
2024-01-20,01001,AL,26,6.7,23.8,2.7,-0.6,3,-1.6
2024-01-20,01003,AL,69,9.9,-8,3.4,0.2,2.3,-0.7
2024-01-20,01005,AL,18,6.5,-33.3,3.1,0,4.7,1
2024-01-20,01007,AL,110,8.9,-29,3.8,-0.1,3.8,-0.2
2024-01-20,01009,AL,110,8.9,-29,3.8,-0.1,3.8,-0.2
2024-01-20,01011,AL,26,6.7,23.8,2.7,-0.6,3,-1.6
