collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2024-02-24,02013,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02016,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02020,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02050,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02060,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02068,AK,10,9,42.9,4.2,-0.2,3.1,-1.1
2024-02-24,02070,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02090,AK,10,9,42.9,4.2,-0.2,3.1,-1.1
2024-02-24,02100,AK,0,0,-100,5.9,3.9,0,-1
2024-02-24,02105,AK,0,0,-100,5.9,3.9,0,-1
2024-02-24,02110,AK,0,0,-100,5.9,3.9,0,-1
2024-02-24,02122,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02130,AK,2,7.7,100,24.7,23.3,,
2024-02-24,02150,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02158,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02164,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02170,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02180,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02185,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02188,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02195,AK,2,7.7,100,24.7,23.3,,
2024-02-24,02198,AK,2,7.7,100,24.7,23.3,,
2024-02-24,02220,AK,0,0,-100,5.9,3.9,0,-1
2024-02-24,02230,AK,0,0,-100,5.9,3.9,0,-1
2024-02-24,02240,AK,10,9,42.9,4.2,-0.2,3.1,-1.1
2024-02-24,02261,AK,14,2.6,-39.1,1.6,-1.2,1.1,0
2024-02-24,02275,AK,2,7.7,100,24.7,23.3,,
2024-02-24,02282,AK,0,0,-100,5.9,3.9,0,-1
2024-02-24,02290,AK,10,9,42.9,4.2,-0.2,3.1,-1.1
2024-02-24,01001,AL,27,7,8,2.3,-0.1,4.2,1.6
2024-02-24,01003,AL,67,9.6,4.7,3.2,0.9,3.6,1.2
