collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2024-02-10,02013,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02016,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02020,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02050,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02060,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02068,AK,8,7.2,14.3,2.2,-0.5,0,-0.2
2024-02-10,02070,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02090,AK,8,7.2,14.3,2.2,-0.5,0,-0.2
2024-02-10,02100,AK,3,6.4,50,1.3,0.1,0.4,0.4
2024-02-10,02105,AK,3,6.4,50,1.3,0.1,0.4,0.4
2024-02-10,02110,AK,3,6.4,50,1.3,0.1,0.4,0.4
2024-02-10,02122,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02130,AK,0,0,0,18.3,-7.7,0,-30.5
2024-02-10,02150,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02158,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02164,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02170,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02180,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02185,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02188,AK,34,6.2,-20.9,3,0.5,1.1,0
2024-02-10,02195,AK,0,0,0,18.3,-7.7,0,-30.5
2024-02-10,02198,AK,0,0,0,18.3,-7.7,0,-30.5
2024-02-10,02220,AK,3,6.4,50,1.3,0.1,0.4,0.4
