collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-07-01,02013,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02016,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02020,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02050,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02060,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02068,AK,7,6.3,75,1.3,-0.8,0.6,-0.8
2023-07-01,02070,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02090,AK,7,6.3,75,1.3,-0.8,0.6,-0.8
2023-07-01,02100,AK,3,6.4,200,4.1,4,0,0
2023-07-01,02105,AK,3,6.4,200,4.1,4,0,0
2023-07-01,02110,AK,3,6.4,200,4.1,4,0,0
2023-07-01,02122,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02130,AK,0,0,-100,56.6,5.6,62.8,31.2
2023-07-01,02150,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02158,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02164,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02170,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02180,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02185,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02188,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02195,AK,0,0,-100,56.6,5.6,62.8,31.2
2023-07-01,02198,AK,0,0,-100,56.6,5.6,62.8,31.2
2023-07-01,02220,AK,3,6.4,200,4.1,4,0,0
2023-07-01,02230,AK,3,6.4,200,4.1,4,0,0
2023-07-01,02240,AK,7,6.3,75,1.3,-0.8,0.6,-0.8
2023-07-01,02261,AK,9,1.6,-35.7,0.9,-0.5,1.2,0.4
2023-07-01,02275,AK,0,0,-100,56.6,5.6,62.8,31.2
2023-07-01,02282,AK,3,6.4,200,4.1,4,0,0
2023-07-01,02290,AK,7,6.3,75,1.3,-0.8,0.6,-0.8
2023-07-01,01001,AL,4,1,33.3,0.5,0.1,0,0
2023-07-01,01003,AL,20,2.9,11.1,0.8,0.1,1.1,0
2023-07-01,01005,AL,5,1.8,-37.5,1,0.1,3.4,0.8
2023-07-01,01007,AL,12,1,-47.8,0.5,-0.1,1,-0.8
2023-07-01,01009,AL,12,1,-47.8,0.5,-0.1,1,-0.8
2023-07-01,01011,AL,4,1,33.3,0.5,0.1,0,0
2023-07-01,01013,AL,0,0,,0,0,0,0
2023-07-01,01015,AL,4,1.4,300,0.1,-0.2,0,0
2023-07-01,01017,AL,6,2,50,0.9,0,2.2,-0.4
2023-07-01,01019,AL,6,2,-14.3,0.5,0.3,0.1,-0.1
2023-07-01,01021,AL,12,1,-47.8,0.5,-0.1,1,-0.8
2023-07-01,01023,AL,4,2.3,,0.2,0,1.4,1.4
2023-07-01,01025,AL,20,2.9,11.1,0.8,0.1,1.1,0
2023-07-01,01027,AL,1,1,0,0.8,-0.6,1.2,-6.3
2023-07-01,01029,AL,4,1.4,300,0.1,-0.2,0,0
2023-07-01,01031,AL,5,1.8,-37.5,1,0.1,3.4,0.8
2023-07-01,01033,AL,3,1.5,-25,0.8,0.1,0.6,-0.4
2023-07-01,01035,AL,26,3.1,44.4,0.4,-0.1,0.1,-0.1
2023-07-01,01037,AL,1,1,0,0.8,-0.6,1.2,-6.3
2023-07-01,01039,AL,4,1,33.3,0.5,0.1,0,0
2023-07-01,01041,AL,4,1,33.3,0.5,0.1,0,0
2023-07-01,01043,AL,12,1,-47.8,0.5,-0.1,1,-0.8
2023-07-01,01045,AL,5,1.8,-37.5,1,0.1,3.4,0.8
2023-07-01,01047,AL,0,0,,0,0,0,-0.3
2023-07-01,01049,AL,6,2,-14.3,0.5,0.3,0.1,-0.1
2023-07-01,01051,AL,0,0,-100,0.3,-0.2,0,0
2023-07-01,01053,AL,26,3.1,44.4,0.4,-0.1,0.1,-0.1
2023-07-01,01055,AL,6,2,-14.3,0.5,0.3,0.1,-0.1
2023-07-01,01057,AL,0,0,-100,0.1,-0.1,0,0
2023-07-01,01059,AL,3,1.5,-25,0.8,0.1,0.6,-0.4
2023-07-01,01061,AL,5,1.8,-37.5,1,0.1,3.4,0.8
2023-07-01,01063,AL,1,0.4,,0.1,-0.4,0,-1.2
2023-07-01,01065,AL,1,0.4,,0.1,-0.4,0,-1.2
2023-07-01,01067,AL,5,1.8,-37.5,1,0.1,3.4,0.8
2023-07-01,01069,AL,5,1.8,-37.5,1,0.1,3.4,0.8
2023-07-01,01071,AL,30,5.4,-33.3,0.8,-0.1,1.6,-1.1
2023-07-01,01073,AL,12,1,-47.8,0.5,-0.1,1,-0.8
2023-07-01,01075,AL,1,1,,0.1,0.1,0,0
2023-07-01,01077,AL,3,1.5,-25,0.8,0.1,0.6,-0.4
2023-07-01,01079,AL,1,0.7,,0,-0.3,0,0
2023-07-01,01081,AL,0,0,-100,0.3,-0.2,0,0
2023-07-01,01083,AL,30,5.4,-33.3,0.8,-0.1,1.6,-1.1
2023-07-01,01085,AL,4,1,33.3,0.5,0.1,0,0
2023-07-01,01087,AL,0,0,-100,0.3,-0.2,0,0
2023-07-01,01089,AL,30,5.4,-33.3,0.8,-0.1,1.6,-1.1
2023-07-01,01091,AL,0,0,,0,0,0,-0.3
2023-07-01,01093,AL,0,0,-100,0.1,-0.1,0,0
2023-07-01,01095,AL,6,2,-14.3,0.5,0.3,0.1,-0.1
2023-07-01,01097,AL,20,2.9,11.1,0.8,0.1,1.1,0
2023-07-01,01099,AL,20,2.9,11.1,0.8,0.1,1.1,0
2023-07-01,01101,AL,4,1,33.3,0.5,0.1,0,0
2023-07-01,01103,AL,1,0.7,,0,-0.3,0,0
2023-07-01,01105,AL,0,0,,0,0,0,-0.3
2023-07-01,01107,AL,1,0.4,,0.1,-0.4,0,-1.2
2023-07-01,01109,AL,4,1,33.3,0.5,0.1,0,0
2023-07-01,01111,AL,6,2,50,0.9,0,2.2,-0.4
2023-07-01,01113,AL,6,1.8,50,1.1,-0.1,0.5,0.4
2023-07-01,01117,AL,12,1,-47.8,0.5,-0.1,1,-0.8
2023-07-01,01115,AL,12,1,-47.8,0.5,-0.1,1,-0.8
2023-07-01,01119,AL,4,2.3,,0.2,0,1.4,1.4
2023-07-01,01121,AL,1,1,0,0.8,-0.6,1.2,-6.3
2023-07-01,01123,AL,0,0,-100,0.3,-0.2,0,0
