collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-07-22,02013,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02016,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02020,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02050,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02060,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02068,AK,3,2.7,-25,1.7,-1.5,4.6,2.2
2023-07-22,02070,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02090,AK,3,2.7,-25,1.7,-1.5,4.6,2.2
2023-07-22,02100,AK,0,0,0,0.2,-5.2,0,0
2023-07-22,02105,AK,0,0,0,0.2,-5.2,0,0
2023-07-22,02110,AK,0,0,0,0.2,-5.2,0,0
2023-07-22,02122,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02130,AK,0,0,-100,6.8,-15.9,0,0
2023-07-22,02150,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02158,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02164,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02170,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02180,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02185,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02188,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02195,AK,0,0,-100,6.8,-15.9,0,0
2023-07-22,02198,AK,0,0,-100,6.8,-15.9,0,0
2023-07-22,02220,AK,0,0,0,0.2,-5.2,0,0
2023-07-22,02230,AK,0,0,0,0.2,-5.2,0,0
2023-07-22,02240,AK,3,2.7,-25,1.7,-1.5,4.6,2.2
2023-07-22,02261,AK,14,2.6,-22.2,1.2,0,1.2,0.1
2023-07-22,02275,AK,0,0,-100,6.8,-15.9,0,0
2023-07-22,02282,AK,0,0,0,0.2,-5.2,0,0
2023-07-22,02290,AK,3,2.7,-25,1.7,-1.5,4.6,2.2
2023-07-22,01001,AL,2,0.5,0,0.9,0.2,0.8,0.8
2023-07-22,01003,AL,27,3.9,22.7,0.7,0,0.8,0.1
2023-07-22,01005,AL,6,2.2,-45.5,0.9,0.1,1.5,-1
2023-07-22,01007,AL,32,2.6,10.3,0.7,0,1,0.1
2023-07-22,01009,AL,32,2.6,10.3,0.7,0,1,0.1
2023-07-22,01011,AL,2,0.5,0,0.9,0.2,0.8,0.8
2023-07-22,01013,AL,0,0,0,0,0,0,0
2023-07-22,01015,AL,8,2.9,-27.3,1.1,0.2,0.3,-1.5
2023-07-22,01017,AL,12,3.9,50,1.6,0.4,2.3,1.4
2023-07-22,01019,AL,12,4,300,0.3,0.2,0.1,0.1
2023-07-22,01021,AL,32,2.6,10.3,0.7,0,1,0.1
2023-07-22,01023,AL,10,5.7,150,0.2,-0.1,0,0
2023-07-22,01025,AL,27,3.9,22.7,0.7,0,0.8,0.1
2023-07-22,01027,AL,0,0,-100,0.1,-0.3,0,0
2023-07-22,01029,AL,8,2.9,-27.3,1.1,0.2,0.3,-1.5
2023-07-22,01031,AL,6,2.2,-45.5,0.9,0.1,1.5,-1
2023-07-22,01033,AL,8,3.9,100,0.8,0.5,0.1,0.1
2023-07-22,01035,AL,43,5.1,34.4,0.8,0.3,0.4,0.3
2023-07-22,01037,AL,0,0,-100,0.1,-0.3,0,0
2023-07-22,01039,AL,2,0.5,0,0.9,0.2,0.8,0.8
2023-07-22,01041,AL,2,0.5,0,0.9,0.2,0.8,0.8
2023-07-22,01043,AL,32,2.6,10.3,0.7,0,1,0.1
2023-07-22,01045,AL,6,2.2,-45.5,0.9,0.1,1.5,-1
2023-07-22,01047,AL,4,5.3,100,1.5,0.9,3.3,2.9
2023-07-22,01049,AL,12,4,300,0.3,0.2,0.1,0.1
2023-07-22,01051,AL,2,0.7,-71.4,1.2,0.1,1.3,-2
2023-07-22,01053,AL,43,5.1,34.4,0.8,0.3,0.4,0.3
2023-07-22,01055,AL,12,4,300,0.3,0.2,0.1,0.1
2023-07-22,01057,AL,0,0,-100,0.5,-0.4,0,0
2023-07-22,01059,AL,8,3.9,100,0.8,0.5,0.1,0.1
2023-07-22,01061,AL,6,2.2,-45.5,0.9,0.1,1.5,-1
2023-07-22,01063,AL,7,2.8,0,1.2,-0.1,1,-0.2
2023-07-22,01065,AL,7,2.8,0,1.2,-0.1,1,-0.2
2023-07-22,01067,AL,6,2.2,-45.5,0.9,0.1,1.5,-1
2023-07-22,01069,AL,6,2.2,-45.5,0.9,0.1,1.5,-1
2023-07-22,01071,AL,43,7.7,4.9,1.2,0.4,0.6,0.1
2023-07-22,01073,AL,32,2.6,10.3,0.7,0,1,0.1
2023-07-22,01075,AL,2,2,,0.2,0.1,0.6,0.6
2023-07-22,01077,AL,8,3.9,100,0.8,0.5,0.1,0.1
2023-07-22,01079,AL,1,0.7,,0,-0.1,0.3,0.3
2023-07-22,01081,AL,2,0.7,-71.4,1.2,0.1,1.3,-2
2023-07-22,01083,AL,43,7.7,4.9,1.2,0.4,0.6,0.1
2023-07-22,01085,AL,2,0.5,0,0.9,0.2,0.8,0.8
2023-07-22,01087,AL,2,0.7,-71.4,1.2,0.1,1.3,-2
2023-07-22,01089,AL,43,7.7,4.9,1.2,0.4,0.6,0.1
2023-07-22,01091,AL,4,5.3,100,1.5,0.9,3.3,2.9
2023-07-22,01093,AL,0,0,-100,0.5,-0.4,0,0
2023-07-22,01095,AL,12,4,300,0.3,0.2,0.1,0.1
2023-07-22,01097,AL,27,3.9,22.7,0.7,0,0.8,0.1
2023-07-22,01099,AL,27,3.9,22.7,0.7,0,0.8,0.1
2023-07-22,01101,AL,2,0.5,0,0.9,0.2,0.8,0.8
2023-07-22,01103,AL,1,0.7,,0,-0.1,0.3,0.3
2023-07-22,01105,AL,4,5.3,100,1.5,0.9,3.3,2.9
2023-07-22,01107,AL,7,2.8,0,1.2,-0.1,1,-0.2
2023-07-22,01109,AL,2,0.5,0,0.9,0.2,0.8,0.8
2023-07-22,01111,AL,12,3.9,50,1.6,0.4,2.3,1.4
2023-07-22,01113,AL,2,0.6,-60,0.9,0.1,0.7,0.5
2023-07-22,01117,AL,32,2.6,10.3,0.7,0,1,0.1
2023-07-22,01115,AL,32,2.6,10.3,0.7,0,1,0.1
2023-07-22,01119,AL,10,5.7,150,0.2,-0.1,0,0
2023-07-22,01121,AL,0,0,-100,0.1,-0.3,0,0
2023-07-22,01123,AL,2,0.7,-71.4,1.2,0.1,1.3,-2
2023-07-22,01125,AL,7,2.8,0,1.2,-0.1,1,-0.2
2023-07-22,01127,AL,32,2.6,10.3,0.7,0,1,0.1
2023-07-22,01129,AL,27,3.9,22.7,0.7,0,0.8,0.1
2023-07-22,01131,AL,4,5.3,100,1.5,0.9,3.3,2.9
2023-07-22,01133,AL,8,3.9,100,0.8,0.5,0.1,0.1
2023-07-22,05001,AR,1,4.1,,0.3,0.2,0,0
2023-07-22,05003,AR,0,0,-100,0,-0.7,0,0
2023-07-22,05005,AR,2,3.4,0,0.3,0.2,0,0
2023-07-22,05007,AR,8,1.4,14.3,0.7,0.3,1.3,1.2
2023-07-22,05009,AR,3,3.7,200,1.4,0.6,0,0
2023-07-22,05011,AR,2,1.6,-50,0.6,0.3,0,0
2023-07-22,05013,AR,1,1.5,,0.6,0.6,0,0
2023-07-22,05015,AR,3,3.7,200,1.4,0.6,0,0
2023-07-22,05017,AR,0,0,-100,0,-0.7,0,0
2023-07-22,05019,AR,2,1.1,,0,-0.3,0.1,-1.4
2023-07-22,05021,AR,0,0,-100,0.2,0,0,-0.3
2023-07-22,05023,AR,4,3.2,,0.3,-0.2,0.2,-2.4
2023-07-22,05025,AR,2,1.6,-50,0.6,0.3,0,0
2023-07-22,05027,AR,1,1.5,,0.6,0.6,0,0
2023-07-22,05029,AR,15,1.9,0,0.4,0,0.5,0
2023-07-22,05031,AR,0,0,-100,0.2,0,0,-0.3
2023-07-22,05033,AR,9,2.6,12.5,1,0.2,3,2.1
2023-07-22,05035,AR,0,0,-100,0.2,0.1,0,0
2023-07-22,05037,AR,0,0,-100,0.2,0.1,0,0
2023-07-22,05039,AR,1,3.3,-66.7,2.3,1.5,0,0
2023-07-22,05041,AR,2,1.6,-50,0.6,0.3,0,0
2023-07-22,05043,AR,2,1.6,-50,0.6,0.3,0,0
2023-07-22,05045,AR,15,1.9,0,0.4,0,0.5,0
2023-07-22,05047,AR,9,2.6,12.5,1,0.2,3,2.1
2023-07-22,05049,AR,3,2,0,0.6,0,4.9,1
2023-07-22,05051,AR,2,1.1,,0,-0.3,0.1,-1.4
2023-07-22,05053,AR,15,1.9,0,0.4,0,0.5,0
2023-07-22,05055,AR,0,0,-100,0.2,0,0,-0.3
2023-07-22,05057,AR,0,0,0,0,-0.1,0,0
2023-07-22,05059,AR,2,1.1,,0,-0.3,0.1,-1.4
2023-07-22,05061,AR,0,0,0,0,-0.1,0,0
2023-07-22,05063,AR,3,2,0,0.6,0,4.9,1
2023-07-22,05065,AR,3,2,0,0.6,0,4.9,1
2023-07-22,05067,AR,4,3.2,,0.3,-0.2,0.2,-2.4
2023-07-22,05069,AR,2,1.6,-50,0.6,0.3,0,0
2023-07-22,05071,AR,0,0,0,0,0,0,0
2023-07-22,05073,AR,0,0,0,0,-0.1,0,0
2023-07-22,05075,AR,0,0,-100,0.2,0,0,-0.3
2023-07-22,05077,AR,0,0,-100,0.2,0.1,0,0
2023-07-22,05079,AR,2,1.6,-50,0.6,0.3,0,0
2023-07-22,05081,AR,0,0,0,0,-0.1,0,0
2023-07-22,05083,AR,9,2.6,12.5,1,0.2,3,2.1
2023-07-22,05085,AR,15,1.9,0,0.4,0,0.5,0
2023-07-22,05087,AR,8,1.4,14.3,0.7,0.3,1.3,1.2
2023-07-22,05089,AR,2,3.4,0,0.3,0.2,0,0
2023-07-22,05091,AR,0,0,0,0,-0.1,0,0
