collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-08-12,02013,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02016,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02020,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02050,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02060,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02068,AK,6,5.4,0,2.4,0.3,0.3,-1.7
2023-08-12,02070,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02090,AK,6,5.4,0,2.4,0.3,0.3,-1.7
2023-08-12,02100,AK,3,6.4,200,1.5,0.6,1.2,1.2
2023-08-12,02105,AK,3,6.4,200,1.5,0.6,1.2,1.2
2023-08-12,02110,AK,3,6.4,200,1.5,0.6,1.2,1.2
2023-08-12,02122,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02130,AK,3,11.6,200,17.8,9.5,4.8,-23.8
2023-08-12,02150,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02158,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02164,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02170,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02180,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02185,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02188,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02195,AK,3,11.6,200,17.8,9.5,4.8,-23.8
2023-08-12,02198,AK,3,11.6,200,17.8,9.5,4.8,-23.8
2023-08-12,02220,AK,3,6.4,200,1.5,0.6,1.2,1.2
2023-08-12,02230,AK,3,6.4,200,1.5,0.6,1.2,1.2
2023-08-12,02240,AK,6,5.4,0,2.4,0.3,0.3,-1.7
2023-08-12,02261,AK,19,3.5,280,0.6,-0.1,1,0.8
2023-08-12,02275,AK,3,11.6,200,17.8,9.5,4.8,-23.8
2023-08-12,02282,AK,3,6.4,200,1.5,0.6,1.2,1.2
2023-08-12,02290,AK,6,5.4,0,2.4,0.3,0.3,-1.7
2023-08-12,01001,AL,26,6.7,73.3,2.1,0.1,2.2,0
2023-08-12,01003,AL,35,5,-14.6,1.4,-0.1,1.3,-0.7
2023-08-12,01005,AL,11,4,-26.7,1.6,-0.2,4,0.7
2023-08-12,01007,AL,76,6.1,-8.4,1.5,0.5,2.3,1
2023-08-12,01009,AL,76,6.1,-8.4,1.5,0.5,2.3,1
2023-08-12,01011,AL,26,6.7,73.3,2.1,0.1,2.2,0
2023-08-12,01013,AL,0,0,0,0,0,0,0
2023-08-12,01015,AL,8,2.9,-27.3,2.4,0.8,2.5,-2.4
2023-08-12,01017,AL,16,5.2,0,2,0.1,1.6,1.4
2023-08-12,01019,AL,17,5.7,88.9,1.2,0.4,1.1,-0.1
2023-08-12,01021,AL,76,6.1,-8.4,1.5,0.5,2.3,1
2023-08-12,01023,AL,20,11.5,-9.1,1.5,0.4,3.3,2.7
2023-08-12,01025,AL,35,5,-14.6,1.4,-0.1,1.3,-0.7
2023-08-12,01027,AL,4,3.9,-42.9,2,0.8,10.1,4.9
2023-08-12,01029,AL,8,2.9,-27.3,2.4,0.8,2.5,-2.4
2023-08-12,01031,AL,11,4,-26.7,1.6,-0.2,4,0.7
2023-08-12,01033,AL,6,3,-25,2,-2.8,3.2,1.8
2023-08-12,01035,AL,50,6,-3.8,1.7,0.4,1.4,0
2023-08-12,01037,AL,4,3.9,-42.9,2,0.8,10.1,4.9
2023-08-12,01039,AL,26,6.7,73.3,2.1,0.1,2.2,0
2023-08-12,01041,AL,26,6.7,73.3,2.1,0.1,2.2,0
2023-08-12,01043,AL,76,6.1,-8.4,1.5,0.5,2.3,1
2023-08-12,01045,AL,11,4,-26.7,1.6,-0.2,4,0.7
2023-08-12,01047,AL,5,6.6,-16.7,2.2,0.2,1.1,-0.9
2023-08-12,01049,AL,17,5.7,88.9,1.2,0.4,1.1,-0.1
2023-08-12,01051,AL,2,0.7,-75,1.2,0.6,0,-0.1
2023-08-12,01053,AL,50,6,-3.8,1.7,0.4,1.4,0
2023-08-12,01055,AL,17,5.7,88.9,1.2,0.4,1.1,-0.1
2023-08-12,01057,AL,0,0,0,0,-0.1,0,0
2023-08-12,01059,AL,6,3,-25,2,-2.8,3.2,1.8
2023-08-12,01061,AL,11,4,-26.7,1.6,-0.2,4,0.7
2023-08-12,01063,AL,4,1.6,-42.9,1.6,0.3,1.8,0
2023-08-12,01065,AL,4,1.6,-42.9,1.6,0.3,1.8,0
2023-08-12,01067,AL,11,4,-26.7,1.6,-0.2,4,0.7
2023-08-12,01069,AL,11,4,-26.7,1.6,-0.2,4,0.7
2023-08-12,01071,AL,15,2.7,-11.8,1.4,0.4,2,0.5
2023-08-12,01073,AL,76,6.1,-8.4,1.5,0.5,2.3,1
2023-08-12,01075,AL,2,2,-33.3,1.1,0.4,1.9,-1.8
2023-08-12,01077,AL,6,3,-25,2,-2.8,3.2,1.8
2023-08-12,01079,AL,6,3.9,200,1.1,0.3,3,-0.1
2023-08-12,01081,AL,2,0.7,-75,1.2,0.6,0,-0.1
2023-08-12,01083,AL,15,2.7,-11.8,1.4,0.4,2,0.5
2023-08-12,01085,AL,26,6.7,73.3,2.1,0.1,2.2,0
2023-08-12,01087,AL,2,0.7,-75,1.2,0.6,0,-0.1
2023-08-12,01089,AL,15,2.7,-11.8,1.4,0.4,2,0.5
2023-08-12,01091,AL,5,6.6,-16.7,2.2,0.2,1.1,-0.9
2023-08-12,01093,AL,0,0,0,0,-0.1,0,0
2023-08-12,01095,AL,17,5.7,88.9,1.2,0.4,1.1,-0.1
2023-08-12,01097,AL,35,5,-14.6,1.4,-0.1,1.3,-0.7
2023-08-12,01099,AL,35,5,-14.6,1.4,-0.1,1.3,-0.7
2023-08-12,01101,AL,26,6.7,73.3,2.1,0.1,2.2,0
2023-08-12,01103,AL,6,3.9,200,1.1,0.3,3,-0.1
2023-08-12,01105,AL,5,6.6,-16.7,2.2,0.2,1.1,-0.9
2023-08-12,01107,AL,4,1.6,-42.9,1.6,0.3,1.8,0
2023-08-12,01109,AL,26,6.7,73.3,2.1,0.1,2.2,0
2023-08-12,01111,AL,16,5.2,0,2,0.1,1.6,1.4
2023-08-12,01113,AL,10,3,-23.1,1.7,-0.4,1.9,0.4
2023-08-12,01117,AL,76,6.1,-8.4,1.5,0.5,2.3,1
2023-08-12,01115,AL,76,6.1,-8.4,1.5,0.5,2.3,1
2023-08-12,01119,AL,20,11.5,-9.1,1.5,0.4,3.3,2.7
2023-08-12,01121,AL,4,3.9,-42.9,2,0.8,10.1,4.9
2023-08-12,01123,AL,2,0.7,-75,1.2,0.6,0,-0.1
2023-08-12,01125,AL,4,1.6,-42.9,1.6,0.3,1.8,0
2023-08-12,01127,AL,76,6.1,-8.4,1.5,0.5,2.3,1
2023-08-12,01129,AL,35,5,-14.6,1.4,-0.1,1.3,-0.7
2023-08-12,01131,AL,5,6.6,-16.7,2.2,0.2,1.1,-0.9
2023-08-12,01133,AL,6,3,-25,2,-2.8,3.2,1.8
2023-08-12,05001,AR,4,16.5,100,0.8,0.5,0.5,0.2
2023-08-12,05003,AR,0,0,0,0,0,0,0
2023-08-12,05005,AR,5,8.5,66.7,0.6,0.4,2,0.5
2023-08-12,05007,AR,18,3.1,100,1.1,0.5,1.1,0.1
2023-08-12,05009,AR,3,3.7,-25,1,-0.4,0.5,-0.2
2023-08-12,05011,AR,4,3.1,-50,1,0.3,0.7,0.3
2023-08-12,05013,AR,4,5.9,100,3.5,2.4,0.3,0.3
2023-08-12,05015,AR,3,3.7,-25,1,-0.4,0.5,-0.2
2023-08-12,05017,AR,0,0,0,0,0,0,0
2023-08-12,05019,AR,6,3.4,-40,1.6,0.8,0.4,0
2023-08-12,05021,AR,7,2.7,40,0.9,0.6,0.7,0.4
2023-08-12,05023,AR,2,1.6,-66.7,0.9,-0.4,0,0
2023-08-12,05025,AR,4,3.1,-50,1,0.3,0.7,0.3
2023-08-12,05027,AR,4,5.9,100,3.5,2.4,0.3,0.3
2023-08-12,05029,AR,42,5.3,61.5,1.1,0.4,0.7,0.2
2023-08-12,05031,AR,7,2.7,40,0.9,0.6,0.7,0.4
2023-08-12,05033,AR,12,3.5,140,0.8,-0.1,1.3,-0.7
2023-08-12,05035,AR,1,1,,0.1,0.1,0,0
2023-08-12,05037,AR,1,1,,0.1,0.1,0,0
2023-08-12,05039,AR,0,0,0,0,-0.6,0,0
