collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-06-17,02013,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02016,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02020,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02050,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02060,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02068,AK,6,5.4,100,1.5,-1.4,2.2,0.8
2023-06-17,02070,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02090,AK,6,5.4,100,1.5,-1.4,2.2,0.8
2023-06-17,02100,AK,0,0,-100,0.4,0.2,0,0
2023-06-17,02105,AK,0,0,-100,0.4,0.2,0,0
2023-06-17,02110,AK,0,0,-100,0.4,0.2,0,0
2023-06-17,02122,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02130,AK,2,7.7,0,52.3,22,44.6,29.5
2023-06-17,02150,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02158,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02164,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02170,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02180,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02185,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02188,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02195,AK,2,7.7,0,52.3,22,44.6,29.5
2023-06-17,02198,AK,2,7.7,0,52.3,22,44.6,29.5
2023-06-17,02220,AK,0,0,-100,0.4,0.2,0,0
2023-06-17,02230,AK,0,0,-100,0.4,0.2,0,0
2023-06-17,02240,AK,6,5.4,100,1.5,-1.4,2.2,0.8
2023-06-17,02261,AK,9,1.6,-47.1,1.4,0.4,0.9,-0.4
2023-06-17,02275,AK,2,7.7,0,52.3,22,44.6,29.5
2023-06-17,02282,AK,0,0,-100,0.4,0.2,0,0
2023-06-17,02290,AK,6,5.4,100,1.5,-1.4,2.2,0.8
2023-06-17,01001,AL,2,0.5,-77.8,0.7,0,0.4,-0.7
2023-06-17,01003,AL,13,1.9,-18.8,0.8,0,0.8,0.6
2023-06-17,01005,AL,5,1.8,25,0.6,-0.4,1.3,-0.4
