collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-06-24,02013,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02016,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02020,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02050,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02060,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02068,AK,4,3.6,-33.3,2.1,0.6,1.4,-0.8
2023-06-24,02070,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02090,AK,4,3.6,-33.3,2.1,0.6,1.4,-0.8
2023-06-24,02100,AK,1,2.1,,0.1,-0.3,0,0
2023-06-24,02105,AK,1,2.1,,0.1,-0.3,0,0
2023-06-24,02110,AK,1,2.1,,0.1,-0.3,0,0
2023-06-24,02122,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02130,AK,3,11.6,50,51,-1.3,31.5,-13.1
2023-06-24,02150,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02158,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02164,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02170,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02180,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02185,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02188,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02195,AK,3,11.6,50,51,-1.3,31.5,-13.1
2023-06-24,02198,AK,3,11.6,50,51,-1.3,31.5,-13.1
2023-06-24,02220,AK,1,2.1,,0.1,-0.3,0,0
2023-06-24,02230,AK,1,2.1,,0.1,-0.3,0,0
2023-06-24,02240,AK,4,3.6,-33.3,2.1,0.6,1.4,-0.8
2023-06-24,02261,AK,14,2.6,55.6,1.3,0,0.8,-0.1
2023-06-24,02275,AK,3,11.6,50,51,-1.3,31.5,-13.1
2023-06-24,02282,AK,1,2.1,,0.1,-0.3,0,0
2023-06-24,02290,AK,4,3.6,-33.3,2.1,0.6,1.4,-0.8
2023-06-24,01001,AL,3,0.8,0,0.3,-0.4,0,-0.4
2023-06-24,01003,AL,18,2.6,38.5,0.7,-0.1,1.1,0.3
2023-06-24,01005,AL,8,2.9,60,0.8,0.2,2.6,1.3
2023-06-24,01007,AL,23,1.9,9.5,0.6,0,1.9,0.8
2023-06-24,01009,AL,23,1.9,9.5,0.6,0,1.9,0.8
2023-06-24,01011,AL,3,0.8,0,0.3,-0.4,0,-0.4
2023-06-24,01013,AL,0,0,,0,0,0,0
2023-06-24,01015,AL,0,0,-100,0.1,-0.3,0,0
2023-06-24,01017,AL,4,1.3,-33.3,0.9,0.2,2.6,1.2
2023-06-24,01019,AL,7,2.4,250,0.2,0.2,0.2,0.1
2023-06-24,01021,AL,23,1.9,9.5,0.6,0,1.9,0.8
2023-06-24,01023,AL,0,0,-100,0.2,0,0,-0.6
2023-06-24,01025,AL,18,2.6,38.5,0.7,-0.1,1.1,0.3
2023-06-24,01027,AL,1,1,0,1.4,0.7,7.6,4
2023-06-24,01029,AL,0,0,-100,0.1,-0.3,0,0
2023-06-24,01031,AL,8,2.9,60,0.8,0.2,2.6,1.3
2023-06-24,01033,AL,4,2,33.3,0.8,0.3,1,0.2
2023-06-24,01035,AL,18,2.2,-35.7,0.5,0,0.2,0.1
2023-06-24,01037,AL,1,1,0,1.4,0.7,7.6,4
2023-06-24,01039,AL,3,0.8,0,0.3,-0.4,0,-0.4
2023-06-24,01041,AL,3,0.8,0,0.3,-0.4,0,-0.4
2023-06-24,01043,AL,23,1.9,9.5,0.6,0,1.9,0.8
2023-06-24,01045,AL,8,2.9,60,0.8,0.2,2.6,1.3
2023-06-24,01047,AL,0,0,-100,0,-0.1,0.3,-0.9
2023-06-24,01049,AL,7,2.4,250,0.2,0.2,0.2,0.1
2023-06-24,01051,AL,3,1,,0.5,0.2,0,0
2023-06-24,01053,AL,18,2.2,-35.7,0.5,0,0.2,0.1
2023-06-24,01055,AL,7,2.4,250,0.2,0.2,0.2,0.1
2023-06-24,01057,AL,1,2.2,,0.2,-0.6,0,0
