collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2024-03-09,02013,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02016,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02020,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02050,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02060,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02068,AK,9,8.1,80,2.9,-0.4,1.4,0.6
2024-03-09,02070,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02090,AK,9,8.1,80,2.9,-0.4,1.4,0.6
2024-03-09,02100,AK,1,2.1,,0.3,-4.6,0,0
2024-03-09,02105,AK,1,2.1,,0.3,-4.6,0,0
2024-03-09,02110,AK,1,2.1,,0.3,-4.6,0,0
2024-03-09,02122,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02130,AK,3,11.6,,11.4,-10.7,,
2024-03-09,02150,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02158,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02164,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02170,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02180,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02185,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02188,AK,17,3.1,30.8,1.3,0.1,1.9,0.9
2024-03-09,02195,AK,3,11.6,,11.4,-10.7,,
2024-03-09,02198,AK,3,11.6,,11.4,-10.7,,
2024-03-09,02220,AK,1,2.1,,0.3,-4.6,0,0
2024-03-09,02230,AK,1,2.1,,0.3,-4.6,0,0
