collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2024-04-13,02013,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02016,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02020,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02050,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02060,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02068,AK,4,3.6,,1.1,1.1,0.5,0.5
2024-04-13,02070,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02090,AK,4,3.6,,1.1,1.1,0.5,0.5
2024-04-13,02100,AK,0,0,0,0.1,-3.8,0,0
2024-04-13,02105,AK,0,0,0,0.1,-3.8,0,0
2024-04-13,02110,AK,0,0,0,0.1,-3.8,0,0
2024-04-13,02122,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02130,AK,0,0,-100,1.2,-2.4,0,0
2024-04-13,02150,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02158,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02164,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02170,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02180,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02185,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02188,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02195,AK,0,0,-100,1.2,-2.4,0,0
2024-04-13,02198,AK,0,0,-100,1.2,-2.4,0,0
2024-04-13,02220,AK,0,0,0,0.1,-3.8,0,0
2024-04-13,02230,AK,0,0,0,0.1,-3.8,0,0
2024-04-13,02240,AK,4,3.6,,1.1,1.1,0.5,0.5
2024-04-13,02261,AK,3,0.5,0,0.1,-0.1,0.2,0.2
2024-04-13,02275,AK,0,0,-100,1.2,-2.4,0,0
2024-04-13,02282,AK,0,0,0,0.1,-3.8,0,0
2024-04-13,02290,AK,4,3.6,,1.1,1.1,0.5,0.5
2024-04-13,01001,AL,10,2.6,42.9,0.8,-0.2,0.4,-0.3
2024-04-13,01003,AL,10,1.4,-37.5,0.7,-0.3,0.6,-0.2
2024-04-13,01005,AL,5,1.8,-28.6,1,-0.5,0.8,0.1
2024-04-13,01007,AL,38,3.1,8.6,1.1,-0.2,1,-0.7
2024-04-13,01009,AL,38,3.1,8.6,1.1,-0.2,1,-0.7
2024-04-13,01011,AL,10,2.6,42.9,0.8,-0.2,0.4,-0.3
2024-04-13,01013,AL,0,0,0,0,0,0,0
2024-04-13,01015,AL,5,1.8,66.7,0.2,-0.3,0,-0.1
