collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-10-14,02013,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02016,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02020,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02050,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02060,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02068,AK,7,6.3,-22.2,4.5,2.3,2.5,0.9
2023-10-14,02070,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02090,AK,7,6.3,-22.2,4.5,2.3,2.5,0.9
2023-10-14,02100,AK,0,0,-100,4.5,2.5,1.3,-3
2023-10-14,02105,AK,0,0,-100,4.5,2.5,1.3,-3
2023-10-14,02110,AK,0,0,-100,4.5,2.5,1.3,-3
2023-10-14,02122,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02130,AK,0,0,-100,2.3,-10.6,0,0
2023-10-14,02150,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02158,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02164,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02170,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02180,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02185,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02188,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02195,AK,0,0,-100,2.3,-10.6,0,0
2023-10-14,02198,AK,0,0,-100,2.3,-10.6,0,0
2023-10-14,02220,AK,0,0,-100,4.5,2.5,1.3,-3
2023-10-14,02230,AK,0,0,-100,4.5,2.5,1.3,-3
2023-10-14,02240,AK,7,6.3,-22.2,4.5,2.3,2.5,0.9
2023-10-14,02261,AK,20,3.7,66.7,1.1,-0.1,0.4,-0.4
2023-10-14,02275,AK,0,0,-100,2.3,-10.6,0,0
2023-10-14,02282,AK,0,0,-100,4.5,2.5,1.3,-3
2023-10-14,02290,AK,7,6.3,-22.2,4.5,2.3,2.5,0.9
2023-10-14,01001,AL,15,3.9,7.1,1.3,-0.8,0.9,-1.9
2023-10-14,01003,AL,21,3,5,1.3,-0.6,0.8,-1.2
2023-10-14,01005,AL,8,2.9,-11.1,1.3,0,1.8,-0.8
2023-10-14,01007,AL,58,4.7,-13.4,1.5,-0.5,2,-0.5
2023-10-14,01009,AL,58,4.7,-13.4,1.5,-0.5,2,-0.5
2023-10-14,01011,AL,15,3.9,7.1,1.3,-0.8,0.9,-1.9
2023-10-14,01013,AL,0,0,0,0,0,0,0
2023-10-14,01015,AL,7,2.5,133.3,0.9,0,4.2,1.4
2023-10-14,01017,AL,6,2,-14.3,1.7,-1.1,2.1,-1.9
2023-10-14,01019,AL,24,8.1,200,1,0,1.3,-0.1
2023-10-14,01021,AL,58,4.7,-13.4,1.5,-0.5,2,-0.5
2023-10-14,01023,AL,1,0.6,-75,0.6,-0.2,1.6,1.3
2023-10-14,01025,AL,21,3,5,1.3,-0.6,0.8,-1.2
2023-10-14,01027,AL,5,4.8,,0.4,0.4,0,0
2023-10-14,01029,AL,7,2.5,133.3,0.9,0,4.2,1.4
2023-10-14,01031,AL,8,2.9,-11.1,1.3,0,1.8,-0.8
2023-10-14,01033,AL,1,0.5,-85.7,1.3,0.4,2.1,0.6
2023-10-14,01035,AL,38,4.5,35.7,1.4,-0.4,2.3,0.7
2023-10-14,01037,AL,5,4.8,,0.4,0.4,0,0
2023-10-14,01039,AL,15,3.9,7.1,1.3,-0.8,0.9,-1.9
2023-10-14,01041,AL,15,3.9,7.1,1.3,-0.8,0.9,-1.9
2023-10-14,01043,AL,58,4.7,-13.4,1.5,-0.5,2,-0.5
2023-10-14,01045,AL,8,2.9,-11.1,1.3,0,1.8,-0.8
2023-10-14,01047,AL,5,6.6,150,0.7,0.4,0.2,-0.3
2023-10-14,01049,AL,24,8.1,200,1,0,1.3,-0.1
2023-10-14,01051,AL,2,0.7,-71.4,1.1,-0.8,1.8,1.8
2023-10-14,01053,AL,38,4.5,35.7,1.4,-0.4,2.3,0.7
2023-10-14,01055,AL,24,8.1,200,1,0,1.3,-0.1
2023-10-14,01057,AL,1,2.2,0,0.8,0.7,0,0
2023-10-14,01059,AL,1,0.5,-85.7,1.3,0.4,2.1,0.6
2023-10-14,01061,AL,8,2.9,-11.1,1.3,0,1.8,-0.8
2023-10-14,01063,AL,4,1.6,-50,2.9,-0.2,4.3,-0.2
2023-10-14,01065,AL,4,1.6,-50,2.9,-0.2,4.3,-0.2
2023-10-14,01067,AL,8,2.9,-11.1,1.3,0,1.8,-0.8
2023-10-14,01069,AL,8,2.9,-11.1,1.3,0,1.8,-0.8
2023-10-14,01071,AL,66,11.8,-2.9,1.3,-0.2,1.6,0.2
2023-10-14,01073,AL,58,4.7,-13.4,1.5,-0.5,2,-0.5
2023-10-14,01075,AL,6,5.9,500,0.7,-0.1,4,-2.2
2023-10-14,01077,AL,1,0.5,-85.7,1.3,0.4,2.1,0.6
2023-10-14,01079,AL,0,0,-100,1,-0.4,0,-1
2023-10-14,01081,AL,2,0.7,-71.4,1.1,-0.8,1.8,1.8
2023-10-14,01083,AL,66,11.8,-2.9,1.3,-0.2,1.6,0.2
