collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2024-02-03,02013,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02016,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02020,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02050,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02060,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02068,AK,7,6.3,0,2.7,0.1,0.2,-2.4
2024-02-03,02070,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02090,AK,7,6.3,0,2.7,0.1,0.2,-2.4
2024-02-03,02100,AK,1,2.1,,0.5,-0.3,0,0
2024-02-03,02105,AK,1,2.1,,0.5,-0.3,0,0
2024-02-03,02110,AK,1,2.1,,0.5,-0.3,0,0
2024-02-03,02122,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02130,AK,0,0,-100,26,9.5,30.5,-37.3
2024-02-03,02150,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02158,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02164,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02170,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02180,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02185,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02188,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02195,AK,0,0,-100,26,9.5,30.5,-37.3
2024-02-03,02198,AK,0,0,-100,26,9.5,30.5,-37.3
2024-02-03,02220,AK,1,2.1,,0.5,-0.3,0,0
2024-02-03,02230,AK,1,2.1,,0.5,-0.3,0,0
2024-02-03,02240,AK,7,6.3,0,2.7,0.1,0.2,-2.4
2024-02-03,02261,AK,38,6.9,65.2,2.5,-0.3,1,-1.3
2024-02-03,02275,AK,0,0,-100,26,9.5,30.5,-37.3
2024-02-03,02282,AK,1,2.1,,0.5,-0.3,0,0
2024-02-03,02290,AK,7,6.3,0,2.7,0.1,0.2,-2.4
2024-02-03,01001,AL,27,7,-3.6,3,0.2,3.2,-0.6
2024-02-03,01003,AL,49,7,-24.6,3,-0.1,3.6,0.8
2024-02-03,01005,AL,27,9.7,3.8,3.2,0.3,2.8,-1
2024-02-03,01007,AL,106,8.6,-24.3,4.1,0,4.9,0.3
2024-02-03,01009,AL,106,8.6,-24.3,4.1,0,4.9,0.3
2024-02-03,01011,AL,27,7,-3.6,3,0.2,3.2,-0.6
2024-02-03,01013,AL,0,0,0,0,0,0,0
2024-02-03,01015,AL,6,2.2,0,2.5,0.4,3,0.4
2024-02-03,01017,AL,21,6.8,16.7,3.3,0.2,3.1,0.6
2024-02-03,01019,AL,14,4.7,16.7,1.8,0.4,2.6,0.7
2024-02-03,01021,AL,106,8.6,-24.3,4.1,0,4.9,0.3
2024-02-03,01023,AL,11,6.3,0,1.5,-0.2,1.3,-0.6
2024-02-03,01025,AL,49,7,-24.6,3,-0.1,3.6,0.8
2024-02-03,01027,AL,4,3.9,100,1.1,-0.9,1.5,1.5
2024-02-03,01029,AL,6,2.2,0,2.5,0.4,3,0.4
2024-02-03,01031,AL,27,9.7,3.8,3.2,0.3,2.8,-1
