collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-09-02,02013,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02016,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02020,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02050,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02060,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02068,AK,10,9,150,2.3,0.9,3.6,3.1
2023-09-02,02070,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02090,AK,10,9,150,2.3,0.9,3.6,3.1
2023-09-02,02100,AK,1,2.1,-66.7,2.3,1,0,0
2023-09-02,02105,AK,1,2.1,-66.7,2.3,1,0,0
2023-09-02,02110,AK,1,2.1,-66.7,2.3,1,0,0
2023-09-02,02122,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02130,AK,2,7.7,,6.1,-2.2,2.2,-7.5
2023-09-02,02150,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02158,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02164,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02170,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02180,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02185,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02188,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02195,AK,2,7.7,,6.1,-2.2,2.2,-7.5
2023-09-02,02198,AK,2,7.7,,6.1,-2.2,2.2,-7.5
2023-09-02,02220,AK,1,2.1,-66.7,2.3,1,0,0
2023-09-02,02230,AK,1,2.1,-66.7,2.3,1,0,0
2023-09-02,02240,AK,10,9,150,2.3,0.9,3.6,3.1
2023-09-02,02261,AK,18,3.3,157.1,1,0.3,0.4,0
2023-09-02,02275,AK,2,7.7,,6.1,-2.2,2.2,-7.5
2023-09-02,02282,AK,1,2.1,-66.7,2.3,1,0,0
2023-09-02,02290,AK,10,9,150,2.3,0.9,3.6,3.1
2023-09-02,01001,AL,15,3.9,-34.8,1.9,0.2,2.8,0.5
2023-09-02,01003,AL,70,10,-1.4,2.6,0.5,1.9,0.2
2023-09-02,01005,AL,35,12.6,66.7,2.2,0.5,1.5,0.5
2023-09-02,01007,AL,131,10.6,7.4,2.7,0.6,3.2,0.3
2023-09-02,01009,AL,131,10.6,7.4,2.7,0.6,3.2,0.3
2023-09-02,01011,AL,15,3.9,-34.8,1.9,0.2,2.8,0.5
2023-09-02,01013,AL,0,0,-100,0.9,0.2,3.5,0.9
2023-09-02,01015,AL,23,8.3,9.5,2.6,0.4,0.3,-0.4
2023-09-02,01017,AL,16,5.2,0,2.5,-0.3,1.1,-1
2023-09-02,01019,AL,29,9.8,81.2,2.2,0.6,2.6,-0.1
2023-09-02,01021,AL,131,10.6,7.4,2.7,0.6,3.2,0.3
2023-09-02,01023,AL,12,6.9,-63.6,2,-0.1,1.1,0.3
2023-09-02,01025,AL,70,10,-1.4,2.6,0.5,1.9,0.2
2023-09-02,01027,AL,7,6.7,133.3,1.8,0.2,4.8,-4.6
2023-09-02,01029,AL,23,8.3,9.5,2.6,0.4,0.3,-0.4
2023-09-02,01031,AL,35,12.6,66.7,2.2,0.5,1.5,0.5
2023-09-02,01033,AL,16,7.9,23.1,2.7,0.5,5,1.2
2023-09-02,01035,AL,75,9,44.2,1.8,0.4,2.7,1.1
2023-09-02,01037,AL,7,6.7,133.3,1.8,0.2,4.8,-4.6
2023-09-02,01039,AL,15,3.9,-34.8,1.9,0.2,2.8,0.5
2023-09-02,01041,AL,15,3.9,-34.8,1.9,0.2,2.8,0.5
2023-09-02,01043,AL,131,10.6,7.4,2.7,0.6,3.2,0.3
2023-09-02,01045,AL,35,12.6,66.7,2.2,0.5,1.5,0.5
2023-09-02,01047,AL,12,15.9,300,2.2,1.1,0.3,0.3
2023-09-02,01049,AL,29,9.8,81.2,2.2,0.6,2.6,-0.1
2023-09-02,01051,AL,17,5.6,6.2,2.8,0.8,11.9,7.6
2023-09-02,01053,AL,75,9,44.2,1.8,0.4,2.7,1.1
2023-09-02,01055,AL,29,9.8,81.2,2.2,0.6,2.6,-0.1
2023-09-02,01057,AL,1,2.2,-66.7,0.6,-0.9,0,0
2023-09-02,01059,AL,16,7.9,23.1,2.7,0.5,5,1.2
2023-09-02,01061,AL,35,12.6,66.7,2.2,0.5,1.5,0.5
2023-09-02,01063,AL,10,4,-28.6,4.5,0.5,4.9,-0.4
2023-09-02,01065,AL,10,4,-28.6,4.5,0.5,4.9,-0.4
2023-09-02,01067,AL,35,12.6,66.7,2.2,0.5,1.5,0.5
2023-09-02,01069,AL,35,12.6,66.7,2.2,0.5,1.5,0.5
2023-09-02,01071,AL,34,6.1,-15,2.6,0.2,4.9,1.2
2023-09-02,01073,AL,131,10.6,7.4,2.7,0.6,3.2,0.3
2023-09-02,01075,AL,10,9.8,233.3,1.6,-1,7,3.4
2023-09-02,01077,AL,16,7.9,23.1,2.7,0.5,5,1.2
2023-09-02,01079,AL,6,3.9,-33.3,2.6,1.2,1.8,1.6
2023-09-02,01081,AL,17,5.6,6.2,2.8,0.8,11.9,7.6
2023-09-02,01083,AL,34,6.1,-15,2.6,0.2,4.9,1.2
2023-09-02,01085,AL,15,3.9,-34.8,1.9,0.2,2.8,0.5
2023-09-02,01087,AL,17,5.6,6.2,2.8,0.8,11.9,7.6
2023-09-02,01089,AL,34,6.1,-15,2.6,0.2,4.9,1.2
2023-09-02,01091,AL,12,15.9,300,2.2,1.1,0.3,0.3
2023-09-02,01093,AL,1,2.2,-66.7,0.6,-0.9,0,0
2023-09-02,01095,AL,29,9.8,81.2,2.2,0.6,2.6,-0.1
2023-09-02,01097,AL,70,10,-1.4,2.6,0.5,1.9,0.2
2023-09-02,01099,AL,70,10,-1.4,2.6,0.5,1.9,0.2
2023-09-02,01101,AL,15,3.9,-34.8,1.9,0.2,2.8,0.5
2023-09-02,01103,AL,6,3.9,-33.3,2.6,1.2,1.8,1.6
2023-09-02,01105,AL,12,15.9,300,2.2,1.1,0.3,0.3
2023-09-02,01107,AL,10,4,-28.6,4.5,0.5,4.9,-0.4
2023-09-02,01109,AL,15,3.9,-34.8,1.9,0.2,2.8,0.5
2023-09-02,01111,AL,16,5.2,0,2.5,-0.3,1.1,-1
2023-09-02,01113,AL,14,4.3,-39.1,4.3,0.7,3.3,-1
2023-09-02,01117,AL,131,10.6,7.4,2.7,0.6,3.2,0.3
2023-09-02,01115,AL,131,10.6,7.4,2.7,0.6,3.2,0.3
2023-09-02,01119,AL,12,6.9,-63.6,2,-0.1,1.1,0.3
2023-09-02,01121,AL,7,6.7,133.3,1.8,0.2,4.8,-4.6
2023-09-02,01123,AL,17,5.6,6.2,2.8,0.8,11.9,7.6
2023-09-02,01125,AL,10,4,-28.6,4.5,0.5,4.9,-0.4
2023-09-02,01127,AL,131,10.6,7.4,2.7,0.6,3.2,0.3
2023-09-02,01129,AL,70,10,-1.4,2.6,0.5,1.9,0.2
2023-09-02,01131,AL,12,15.9,300,2.2,1.1,0.3,0.3
2023-09-02,01133,AL,16,7.9,23.1,2.7,0.5,5,1.2
2023-09-02,05001,AR,6,24.8,100,2.5,0.7,2.9,2
2023-09-02,05003,AR,0,0,0,1.3,0,0,0
2023-09-02,05005,AR,4,6.8,-20,1.3,0.3,0,0
2023-09-02,05007,AR,32,5.5,33.3,1.6,0.2,1.9,0.6
2023-09-02,05009,AR,3,3.7,-25,2.5,1.2,7.8,7.3
2023-09-02,05011,AR,16,12.5,-15.8,2.9,1.1,2.6,1.6
2023-09-02,05013,AR,4,5.9,33.3,1.9,-0.3,5,3.5
2023-09-02,05015,AR,3,3.7,-25,2.5,1.2,7.8,7.3
2023-09-02,05017,AR,0,0,0,1.3,0,0,0
2023-09-02,05019,AR,12,6.9,0,2.1,0.2,1.3,-2.9
2023-09-02,05021,AR,27,10.5,0,2.4,1.1,4,3.6
2023-09-02,05023,AR,8,6.3,-20,2.7,-0.7,2.3,1.1
2023-09-02,05025,AR,16,12.5,-15.8,2.9,1.1,2.6,1.6
2023-09-02,05027,AR,4,5.9,33.3,1.9,-0.3,5,3.5
2023-09-02,05029,AR,67,8.5,3.1,1.8,0.3,2,0.5
2023-09-02,05031,AR,27,10.5,0,2.4,1.1,4,3.6
2023-09-02,05033,AR,18,5.2,0,1.3,-0.2,2.2,0.2
