collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-07-15,02013,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02016,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02020,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02050,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02060,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02068,AK,4,3.6,-20,3.2,0.6,2.4,1.4
2023-07-15,02070,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02090,AK,4,3.6,-20,3.2,0.6,2.4,1.4
2023-07-15,02100,AK,0,0,-100,5.4,-3.2,0,0
2023-07-15,02105,AK,0,0,-100,5.4,-3.2,0,0
2023-07-15,02110,AK,0,0,-100,5.4,-3.2,0,0
2023-07-15,02122,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02130,AK,1,3.9,,22.7,-11,0,0
2023-07-15,02150,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02158,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02164,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02170,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02180,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02185,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02188,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02195,AK,1,3.9,,22.7,-11,0,0
2023-07-15,02198,AK,1,3.9,,22.7,-11,0,0
2023-07-15,02220,AK,0,0,-100,5.4,-3.2,0,0
2023-07-15,02230,AK,0,0,-100,5.4,-3.2,0,0
2023-07-15,02240,AK,4,3.6,-20,3.2,0.6,2.4,1.4
2023-07-15,02261,AK,18,3.3,100,1.2,0.4,1,0.2
2023-07-15,02275,AK,1,3.9,,22.7,-11,0,0
2023-07-15,02282,AK,0,0,-100,5.4,-3.2,0,0
2023-07-15,02290,AK,4,3.6,-20,3.2,0.6,2.4,1.4
2023-07-15,01001,AL,2,0.5,-33.3,0.8,0.3,0,0
2023-07-15,01003,AL,22,3.2,175,0.7,-0.1,0.6,0.1
2023-07-15,01005,AL,11,4,266.7,0.7,0.2,2.5,-1
2023-07-15,01007,AL,29,2.3,-3.3,0.6,0.2,0.9,0.2
2023-07-15,01009,AL,29,2.3,-3.3,0.6,0.2,0.9,0.2
2023-07-15,01011,AL,2,0.5,-33.3,0.8,0.3,0,0
2023-07-15,01013,AL,0,0,0,0,0,0,0
2023-07-15,01015,AL,10,3.6,150,0.9,0.4,1.2,0.9
2023-07-15,01017,AL,8,2.6,300,1.1,-0.2,0.9,-0.3
2023-07-15,01019,AL,3,1,-25,0.1,-0.2,0,0
2023-07-15,01021,AL,29,2.3,-3.3,0.6,0.2,0.9,0.2
2023-07-15,01023,AL,4,2.3,100,0.3,0,0,-0.7
2023-07-15,01025,AL,22,3.2,175,0.7,-0.1,0.6,0.1
2023-07-15,01027,AL,2,1.9,0,0.3,-0.1,0,0
2023-07-15,01029,AL,10,3.6,150,0.9,0.4,1.2,0.9
2023-07-15,01031,AL,11,4,266.7,0.7,0.2,2.5,-1
2023-07-15,01033,AL,4,2,300,0.4,-0.2,0,-1.1
2023-07-15,01035,AL,32,3.8,60,0.5,-0.1,0.2,-0.1
2023-07-15,01037,AL,2,1.9,0,0.3,-0.1,0,0
2023-07-15,01039,AL,2,0.5,-33.3,0.8,0.3,0,0
2023-07-15,01041,AL,2,0.5,-33.3,0.8,0.3,0,0
2023-07-15,01043,AL,29,2.3,-3.3,0.6,0.2,0.9,0.2
2023-07-15,01045,AL,11,4,266.7,0.7,0.2,2.5,-1
2023-07-15,01047,AL,3,4,0,0.7,0.5,0.3,0.3
2023-07-15,01049,AL,3,1,-25,0.1,-0.2,0,0
2023-07-15,01051,AL,7,2.3,40,1.2,0.8,3.3,3.1
2023-07-15,01053,AL,32,3.8,60,0.5,-0.1,0.2,-0.1
2023-07-15,01055,AL,3,1,-25,0.1,-0.2,0,0
2023-07-15,01057,AL,1,2.2,-75,0.9,0.7,0,0
2023-07-15,01059,AL,4,2,300,0.4,-0.2,0,-1.1
2023-07-15,01061,AL,11,4,266.7,0.7,0.2,2.5,-1
2023-07-15,01063,AL,7,2.8,75,1.3,0.8,1.2,1
2023-07-15,01065,AL,7,2.8,75,1.3,0.8,1.2,1
2023-07-15,01067,AL,11,4,266.7,0.7,0.2,2.5,-1
2023-07-15,01069,AL,11,4,266.7,0.7,0.2,2.5,-1
2023-07-15,01071,AL,41,7.4,57.7,0.8,0.2,0.5,-0.1
2023-07-15,01073,AL,29,2.3,-3.3,0.6,0.2,0.9,0.2
2023-07-15,01075,AL,0,0,0,0.2,0,0,0
2023-07-15,01077,AL,4,2,300,0.4,-0.2,0,-1.1
2023-07-15,01079,AL,0,0,-100,0.1,0,0,0
2023-07-15,01081,AL,7,2.3,40,1.2,0.8,3.3,3.1
2023-07-15,01083,AL,41,7.4,57.7,0.8,0.2,0.5,-0.1
2023-07-15,01085,AL,2,0.5,-33.3,0.8,0.3,0,0
2023-07-15,01087,AL,7,2.3,40,1.2,0.8,3.3,3.1
2023-07-15,01089,AL,41,7.4,57.7,0.8,0.2,0.5,-0.1
2023-07-15,01091,AL,3,4,0,0.7,0.5,0.3,0.3
2023-07-15,01093,AL,1,2.2,-75,0.9,0.7,0,0
2023-07-15,01095,AL,3,1,-25,0.1,-0.2,0,0
2023-07-15,01097,AL,22,3.2,175,0.7,-0.1,0.6,0.1
2023-07-15,01099,AL,22,3.2,175,0.7,-0.1,0.6,0.1
2023-07-15,01101,AL,2,0.5,-33.3,0.8,0.3,0,0
2023-07-15,01103,AL,0,0,-100,0.1,0,0,0
2023-07-15,01105,AL,3,4,0,0.7,0.5,0.3,0.3
2023-07-15,01107,AL,7,2.8,75,1.3,0.8,1.2,1
2023-07-15,01109,AL,2,0.5,-33.3,0.8,0.3,0,0
2023-07-15,01111,AL,8,2.6,300,1.1,-0.2,0.9,-0.3
2023-07-15,01113,AL,5,1.5,66.7,0.8,-0.3,0.1,-0.4
2023-07-15,01117,AL,29,2.3,-3.3,0.6,0.2,0.9,0.2
2023-07-15,01115,AL,29,2.3,-3.3,0.6,0.2,0.9,0.2
2023-07-15,01119,AL,4,2.3,100,0.3,0,0,-0.7
2023-07-15,01121,AL,2,1.9,0,0.3,-0.1,0,0
2023-07-15,01123,AL,7,2.3,40,1.2,0.8,3.3,3.1
2023-07-15,01125,AL,7,2.8,75,1.3,0.8,1.2,1
2023-07-15,01127,AL,29,2.3,-3.3,0.6,0.2,0.9,0.2
2023-07-15,01129,AL,22,3.2,175,0.7,-0.1,0.6,0.1
2023-07-15,01131,AL,3,4,0,0.7,0.5,0.3,0.3
2023-07-15,01133,AL,4,2,300,0.4,-0.2,0,-1.1
2023-07-15,05001,AR,0,0,0,0.1,-0.1,0,
2023-07-15,05003,AR,2,6.7,,0.8,0.7,0,0
2023-07-15,05005,AR,2,3.4,100,0.2,-0.2,0,0
2023-07-15,05007,AR,7,1.2,,0.3,-0.1,0.2,-0.2
2023-07-15,05009,AR,1,1.2,,0.8,0.2,0,0
2023-07-15,05011,AR,4,3.1,300,0.2,0,0,0
2023-07-15,05013,AR,0,0,0,0,-0.6,0,0
2023-07-15,05015,AR,1,1.2,,0.8,0.2,0,0
2023-07-15,05017,AR,2,6.7,,0.8,0.7,0,0
2023-07-15,05019,AR,0,0,-100,0.3,-1.2,1.5,1.4
2023-07-15,05021,AR,2,0.8,-50,0.2,-0.1,0.3,-0.2
2023-07-15,05023,AR,0,0,-100,0.4,-0.2,2.6,0.2
2023-07-15,05025,AR,4,3.1,300,0.2,0,0,0
2023-07-15,05027,AR,0,0,0,0,-0.6,0,0
2023-07-15,05029,AR,15,1.9,36.4,0.4,-0.1,0.5,-0.2
2023-07-15,05031,AR,2,0.8,-50,0.2,-0.1,0.3,-0.2
2023-07-15,05033,AR,8,2.3,100,0.8,-0.2,0.9,0.7
2023-07-15,05035,AR,1,1,,0.1,0.1,0,0
2023-07-15,05037,AR,1,1,,0.1,0.1,0,0
2023-07-15,05039,AR,3,9.9,,0.8,0.8,0,0
2023-07-15,05041,AR,4,3.1,300,0.2,0,0,0
2023-07-15,05043,AR,4,3.1,300,0.2,0,0,0
2023-07-15,05045,AR,15,1.9,36.4,0.4,-0.1,0.5,-0.2
2023-07-15,05047,AR,8,2.3,100,0.8,-0.2,0.9,0.7
2023-07-15,05049,AR,3,2,50,0.6,0.1,3.9,2.6
2023-07-15,05051,AR,0,0,-100,0.3,-1.2,1.5,1.4
2023-07-15,05053,AR,15,1.9,36.4,0.4,-0.1,0.5,-0.2
2023-07-15,05055,AR,2,0.8,-50,0.2,-0.1,0.3,-0.2
2023-07-15,05057,AR,0,0,0,0.1,-0.4,0,0
2023-07-15,05059,AR,0,0,-100,0.3,-1.2,1.5,1.4
2023-07-15,05061,AR,0,0,0,0.1,-0.4,0,0
2023-07-15,05063,AR,3,2,50,0.6,0.1,3.9,2.6
2023-07-15,05065,AR,3,2,50,0.6,0.1,3.9,2.6
