collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-12-30,02013,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02016,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02020,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02050,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02060,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02068,AK,3,2.7,-25,1.5,0,4.7,4.6
2023-12-30,02070,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02090,AK,3,2.7,-25,1.5,0,4.7,4.6
2023-12-30,02100,AK,1,2.1,,0.1,0.1,0,0
2023-12-30,02105,AK,1,2.1,,0.1,0.1,0,0
2023-12-30,02110,AK,1,2.1,,0.1,0.1,0,0
2023-12-30,02122,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02130,AK,0,0,0,0,0,0,0
2023-12-30,02150,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02158,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02164,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02170,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02180,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02185,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02188,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02195,AK,0,0,0,0,0,0,0
2023-12-30,02198,AK,0,0,0,0,0,0,0
2023-12-30,02220,AK,1,2.1,,0.1,0.1,0,0
2023-12-30,02230,AK,1,2.1,,0.1,0.1,0,0
2023-12-30,02240,AK,3,2.7,-25,1.5,0,4.7,4.6
2023-12-30,02261,AK,24,4.4,71.4,1.1,0,0.8,-0.5
2023-12-30,02275,AK,0,0,0,0,0,0,0
2023-12-30,02282,AK,1,2.1,,0.1,0.1,0,0
2023-12-30,02290,AK,3,2.7,-25,1.5,0,4.7,4.6
