collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2024-04-20,02013,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02016,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02020,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02050,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02060,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02068,AK,0,0,-100,1.8,0.7,2.8,2.4
2024-04-20,02070,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02090,AK,0,0,-100,1.8,0.7,2.8,2.4
2024-04-20,02100,AK,0,0,0,0,-0.1,0,0
2024-04-20,02105,AK,0,0,0,0,-0.1,0,0
2024-04-20,02110,AK,0,0,0,0,-0.1,0,0
2024-04-20,02122,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02130,AK,0,0,0,0,-1.2,0,0
2024-04-20,02150,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02158,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02164,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02170,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02180,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02185,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02188,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02195,AK,0,0,0,0,-1.2,0,0
2024-04-20,02198,AK,0,0,0,0,-1.2,0,0
2024-04-20,02220,AK,0,0,0,0,-0.1,0,0
2024-04-20,02230,AK,0,0,0,0,-0.1,0,0
2024-04-20,02240,AK,0,0,-100,1.8,0.7,2.8,2.4
2024-04-20,02261,AK,2,0.4,-33.3,0.1,0,0.1,-0.1
2024-04-20,02275,AK,0,0,0,0,-1.2,0,0
2024-04-20,02282,AK,0,0,0,0,-0.1,0,0
2024-04-20,02290,AK,0,0,-100,1.8,0.7,2.8,2.4
2024-04-20,01001,AL,6,1.6,-40,0.9,0.1,0.3,-0.1
2024-04-20,01003,AL,14,2,40,0.4,-0.3,0,-0.6
2024-04-20,01005,AL,4,1.4,-20,0.6,-0.3,1,0.2
2024-04-20,01007,AL,21,1.7,-44.7,0.7,-0.4,1,0
2024-04-20,01009,AL,21,1.7,-44.7,0.7,-0.4,1,0
2024-04-20,01011,AL,6,1.6,-40,0.9,0.1,0.3,-0.1
2024-04-20,01013,AL,0,0,0,0,0,0,0
2024-04-20,01015,AL,2,0.7,-60,0.5,0.3,0,0
2024-04-20,01017,AL,3,1,-40,0.7,0.3,0.3,0.1
2024-04-20,01019,AL,3,1,-66.7,0.2,-0.4,0,0
2024-04-20,01021,AL,21,1.7,-44.7,0.7,-0.4,1,0
2024-04-20,01023,AL,2,1.1,-33.3,0.6,0.3,0,0
2024-04-20,01025,AL,14,2,40,0.4,-0.3,0,-0.6
2024-04-20,01027,AL,1,1,-75,0.6,-0.8,0,-0.1
2024-04-20,01029,AL,2,0.7,-60,0.5,0.3,0,0
2024-04-20,01031,AL,4,1.4,-20,0.6,-0.3,1,0.2
2024-04-20,01033,AL,6,3,-14.3,1.5,-0.1,0.8,-1.2
2024-04-20,01035,AL,18,2.2,28.6,0.5,-0.2,3,0.1
2024-04-20,01037,AL,1,1,-75,0.6,-0.8,0,-0.1
2024-04-20,01039,AL,6,1.6,-40,0.9,0.1,0.3,-0.1
2024-04-20,01041,AL,6,1.6,-40,0.9,0.1,0.3,-0.1
2024-04-20,01043,AL,21,1.7,-44.7,0.7,-0.4,1,0
2024-04-20,01045,AL,4,1.4,-20,0.6,-0.3,1,0.2
2024-04-20,01047,AL,1,1.3,0,0.4,0.1,2.7,1.1
2024-04-20,01049,AL,3,1,-66.7,0.2,-0.4,0,0
2024-04-20,01051,AL,3,1,-25,1.2,-0.5,0,0
2024-04-20,01053,AL,18,2.2,28.6,0.5,-0.2,3,0.1
2024-04-20,01055,AL,3,1,-66.7,0.2,-0.4,0,0
2024-04-20,01057,AL,0,0,0,0,0,0,0
2024-04-20,01059,AL,6,3,-14.3,1.5,-0.1,0.8,-1.2
2024-04-20,01061,AL,4,1.4,-20,0.6,-0.3,1,0.2
2024-04-20,01063,AL,5,2,-16.7,1.9,-0.5,1,0.4
2024-04-20,01065,AL,5,2,-16.7,1.9,-0.5,1,0.4
2024-04-20,01067,AL,4,1.4,-20,0.6,-0.3,1,0.2
2024-04-20,01069,AL,4,1.4,-20,0.6,-0.3,1,0.2
2024-04-20,01071,AL,49,8.8,-2,1.4,-0.1,3,1.7
2024-04-20,01073,AL,21,1.7,-44.7,0.7,-0.4,1,0
2024-04-20,01075,AL,1,1,,0.1,0,0.5,0.5
2024-04-20,01077,AL,6,3,-14.3,1.5,-0.1,0.8,-1.2
2024-04-20,01079,AL,5,3.3,150,0.9,0.1,1.2,1.1
2024-04-20,01081,AL,3,1,-25,1.2,-0.5,0,0
2024-04-20,01083,AL,49,8.8,-2,1.4,-0.1,3,1.7
2024-04-20,01085,AL,6,1.6,-40,0.9,0.1,0.3,-0.1
2024-04-20,01087,AL,3,1,-25,1.2,-0.5,0,0
2024-04-20,01089,AL,49,8.8,-2,1.4,-0.1,3,1.7
2024-04-20,01091,AL,1,1.3,0,0.4,0.1,2.7,1.1
2024-04-20,01093,AL,0,0,0,0,0,0,0
2024-04-20,01095,AL,3,1,-66.7,0.2,-0.4,0,0
2024-04-20,01097,AL,14,2,40,0.4,-0.3,0,-0.6
2024-04-20,01099,AL,14,2,40,0.4,-0.3,0,-0.6
2024-04-20,01101,AL,6,1.6,-40,0.9,0.1,0.3,-0.1
2024-04-20,01103,AL,5,3.3,150,0.9,0.1,1.2,1.1
2024-04-20,01105,AL,1,1.3,0,0.4,0.1,2.7,1.1
2024-04-20,01107,AL,5,2,-16.7,1.9,-0.5,1,0.4
2024-04-20,01109,AL,6,1.6,-40,0.9,0.1,0.3,-0.1
2024-04-20,01111,AL,3,1,-40,0.7,0.3,0.3,0.1
2024-04-20,01113,AL,3,0.9,-57.1,1,-0.8,0.1,-0.9
2024-04-20,01117,AL,21,1.7,-44.7,0.7,-0.4,1,0
2024-04-20,01115,AL,21,1.7,-44.7,0.7,-0.4,1,0
2024-04-20,01119,AL,2,1.1,-33.3,0.6,0.3,0,0
2024-04-20,01121,AL,1,1,-75,0.6,-0.8,0,-0.1
2024-04-20,01123,AL,3,1,-25,1.2,-0.5,0,0
2024-04-20,01125,AL,5,2,-16.7,1.9,-0.5,1,0.4
2024-04-20,01127,AL,21,1.7,-44.7,0.7,-0.4,1,0
2024-04-20,01129,AL,14,2,40,0.4,-0.3,0,-0.6
2024-04-20,01131,AL,1,1.3,0,0.4,0.1,2.7,1.1
2024-04-20,01133,AL,6,3,-14.3,1.5,-0.1,0.8,-1.2
2024-04-20,05001,AR,0,0,0,0,0,0,0
2024-04-20,05003,AR,0,0,0,0,0,0,0
2024-04-20,05005,AR,1,1.7,-66.7,0.4,0.1,0,0
2024-04-20,05007,AR,1,0.2,-80,0.4,-0.2,0.8,0
2024-04-20,05009,AR,0,0,0,0,-0.5,0,0
2024-04-20,05011,AR,2,1.6,-33.3,0.6,0.3,0.4,-2
2024-04-20,05013,AR,0,0,-100,0.7,0.4,0,-0.2
2024-04-20,05015,AR,0,0,0,0,-0.5,0,0
2024-04-20,05017,AR,0,0,0,0,0,0,0
2024-04-20,05019,AR,3,1.7,-57.1,0.9,0.6,0,0
2024-04-20,05021,AR,4,1.6,,0.4,-0.3,2.7,2.2
