collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-08-05,02013,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02016,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02020,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02050,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02060,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02068,AK,6,5.4,200,2.1,1.5,2,1.1
2023-08-05,02070,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02090,AK,6,5.4,200,2.1,1.5,2,1.1
2023-08-05,02100,AK,1,2.1,,1,1,0,0
2023-08-05,02105,AK,1,2.1,,1,1,0,0
2023-08-05,02110,AK,1,2.1,,1,1,0,0
2023-08-05,02122,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02130,AK,1,3.9,0,8.4,6.6,28.6,28.6
2023-08-05,02150,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02158,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02164,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02170,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02180,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02185,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02188,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02195,AK,1,3.9,0,8.4,6.6,28.6,28.6
2023-08-05,02198,AK,1,3.9,0,8.4,6.6,28.6,28.6
2023-08-05,02220,AK,1,2.1,,1,1,0,0
2023-08-05,02230,AK,1,2.1,,1,1,0,0
2023-08-05,02240,AK,6,5.4,200,2.1,1.5,2,1.1
2023-08-05,02261,AK,5,0.9,-72.2,0.8,-0.1,0.3,-0.2
2023-08-05,02275,AK,1,3.9,0,8.4,6.6,28.6,28.6
2023-08-05,02282,AK,1,2.1,,1,1,0,0
2023-08-05,02290,AK,6,5.4,200,2.1,1.5,2,1.1
2023-08-05,01001,AL,15,3.9,150,2,0.8,2.2,0.2
2023-08-05,01003,AL,40,5.7,17.6,1.4,0.2,2,0.5
2023-08-05,01005,AL,15,5.4,15.4,1.7,0.5,3.3,2.2
2023-08-05,01007,AL,83,6.7,84.4,0.9,0.2,1.3,0.5
2023-08-05,01009,AL,83,6.7,84.4,0.9,0.2,1.3,0.5
2023-08-05,01011,AL,15,3.9,150,2,0.8,2.2,0.2
2023-08-05,01013,AL,0,0,0,0,0,0,0
2023-08-05,01015,AL,11,4,120,1.6,1,4.9,4.1
2023-08-05,01017,AL,16,5.2,100,2,0.1,0.1,-0.9
2023-08-05,01019,AL,9,3,28.6,0.7,-0.1,1.2,0.6
2023-08-05,01021,AL,83,6.7,84.4,0.9,0.2,1.3,0.5
2023-08-05,01023,AL,22,12.6,46.7,1.1,-0.3,0.6,0.1
2023-08-05,01025,AL,40,5.7,17.6,1.4,0.2,2,0.5
2023-08-05,01027,AL,7,6.7,133.3,1.2,0.7,5.2,4.1
2023-08-05,01029,AL,11,4,120,1.6,1,4.9,4.1
2023-08-05,01031,AL,15,5.4,15.4,1.7,0.5,3.3,2.2
2023-08-05,01033,AL,8,3.9,-65.2,4.8,2.2,1.5,0.4
2023-08-05,01035,AL,52,6.2,67.7,1.3,0.3,1.4,0.3
2023-08-05,01037,AL,7,6.7,133.3,1.2,0.7,5.2,4.1
2023-08-05,01039,AL,15,3.9,150,2,0.8,2.2,0.2
2023-08-05,01041,AL,15,3.9,150,2,0.8,2.2,0.2
2023-08-05,01043,AL,83,6.7,84.4,0.9,0.2,1.3,0.5
2023-08-05,01045,AL,15,5.4,15.4,1.7,0.5,3.3,2.2
2023-08-05,01047,AL,6,8,200,1.9,0.4,2,1.7
2023-08-05,01049,AL,9,3,28.6,0.7,-0.1,1.2,0.6
2023-08-05,01051,AL,8,2.6,300,0.5,0,0.1,-0.3
2023-08-05,01053,AL,52,6.2,67.7,1.3,0.3,1.4,0.3
