collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2024-01-13,02013,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02016,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02020,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02050,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02060,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02068,AK,3,2.7,-40,3.7,1.2,0,-0.6
2024-01-13,02070,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02090,AK,3,2.7,-40,3.7,1.2,0,-0.6
2024-01-13,02100,AK,4,8.5,-20,1.9,0.8,2,1.2
2024-01-13,02105,AK,4,8.5,-20,1.9,0.8,2,1.2
2024-01-13,02110,AK,4,8.5,-20,1.9,0.8,2,1.2
2024-01-13,02122,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02130,AK,0,0,0,0,0,,
2024-01-13,02150,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02158,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02164,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02170,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02180,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02185,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02188,AK,24,4.4,-4,2.1,0.2,3.5,1.8
2024-01-13,02195,AK,0,0,0,0,0,,
2024-01-13,02198,AK,0,0,0,0,0,,
2024-01-13,02220,AK,4,8.5,-20,1.9,0.8,2,1.2
