collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-12-16,02013,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02016,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02020,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02050,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02060,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02068,AK,3,2.7,200,0.5,-1.3,0.2,-6
2023-12-16,02070,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02090,AK,3,2.7,200,0.5,-1.3,0.2,-6
2023-12-16,02100,AK,0,0,0,0,0,0,0
2023-12-16,02105,AK,0,0,0,0,0,0,0
2023-12-16,02110,AK,0,0,0,0,0,0,0
2023-12-16,02122,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02130,AK,0,0,0,0,0,0,0
2023-12-16,02150,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02158,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02164,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02170,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02180,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02185,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02188,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
2023-12-16,02195,AK,0,0,0,0,0,0,0
2023-12-16,02198,AK,0,0,0,0,0,0,0
2023-12-16,02220,AK,0,0,0,0,0,0,0
2023-12-16,02230,AK,0,0,0,0,0,0,0
2023-12-16,02240,AK,3,2.7,200,0.5,-1.3,0.2,-6
2023-12-16,02261,AK,16,2.9,23.1,1.1,-0.1,1.2,0.8
