collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-09-23,02013,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02016,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02020,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02050,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02060,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02068,AK,5,4.5,-50,4.8,1,8.9,3.5
2023-09-23,02070,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02090,AK,5,4.5,-50,4.8,1,8.9,3.5
2023-09-23,02100,AK,0,0,-100,0.4,-3.1,0,0
2023-09-23,02105,AK,0,0,-100,0.4,-3.1,0,0
2023-09-23,02110,AK,0,0,-100,0.4,-3.1,0,0
2023-09-23,02122,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02130,AK,1,3.9,-50,27.1,-2.1,0,0
2023-09-23,02150,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02158,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02164,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02170,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02180,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02185,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02188,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02195,AK,1,3.9,-50,27.1,-2.1,0,0
2023-09-23,02198,AK,1,3.9,-50,27.1,-2.1,0,0
2023-09-23,02220,AK,0,0,-100,0.4,-3.1,0,0
2023-09-23,02230,AK,0,0,-100,0.4,-3.1,0,0
2023-09-23,02240,AK,5,4.5,-50,4.8,1,8.9,3.5
2023-09-23,02261,AK,13,2.4,-23.5,1.7,-0.1,2.9,0.1
2023-09-23,02275,AK,1,3.9,-50,27.1,-2.1,0,0
2023-09-23,02282,AK,0,0,-100,0.4,-3.1,0,0
2023-09-23,02290,AK,5,4.5,-50,4.8,1,8.9,3.5
2023-09-23,01001,AL,25,6.5,47.1,1.9,-0.2,2.3,-0.1
2023-09-23,01003,AL,48,6.9,-17.2,2,-0.2,3,1
2023-09-23,01005,AL,21,7.6,0,2.3,-0.3,3.8,1.4
2023-09-23,01007,AL,98,7.9,-21,2.7,-0.4,3.8,-0.5
2023-09-23,01009,AL,98,7.9,-21,2.7,-0.4,3.8,-0.5
2023-09-23,01011,AL,25,6.5,47.1,1.9,-0.2,2.3,-0.1
2023-09-23,01013,AL,1,5.1,0,2,1.5,0,0
2023-09-23,01015,AL,8,2.9,-46.7,1.8,-0.7,1.7,0.6
2023-09-23,01017,AL,13,4.2,-18.8,3.6,-0.6,3.9,-0.8
2023-09-23,01019,AL,15,5.1,114.3,0.9,-0.8,0.7,-1.5
2023-09-23,01021,AL,98,7.9,-21,2.7,-0.4,3.8,-0.5
2023-09-23,01023,AL,11,6.3,-8.3,0.9,-0.2,0,-0.8
