collection_date,fips_code,state,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,admissions_covid_confirmed_week_over_week_percent_change,avg_percent_inpatient_beds_used_confirmed_covid,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2023-10-28,02013,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02016,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02020,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02050,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02060,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02068,AK,3,2.7,200,1.1,-1.6,3.9,0.5
2023-10-28,02070,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02090,AK,3,2.7,200,1.1,-1.6,3.9,0.5
2023-10-28,02100,AK,0,0,-100,0.2,-0.7,0,0
2023-10-28,02105,AK,0,0,-100,0.2,-0.7,0,0
2023-10-28,02110,AK,0,0,-100,0.2,-0.7,0,0
2023-10-28,02122,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02130,AK,0,0,-100,0.8,-1,0,0
2023-10-28,02150,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02158,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02164,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02170,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02180,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02185,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02188,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02195,AK,0,0,-100,0.8,-1,0,0
2023-10-28,02198,AK,0,0,-100,0.8,-1,0,0
2023-10-28,02220,AK,0,0,-100,0.2,-0.7,0,0
2023-10-28,02230,AK,0,0,-100,0.2,-0.7,0,0
2023-10-28,02240,AK,3,2.7,200,1.1,-1.6,3.9,0.5
2023-10-28,02261,AK,11,2,-8.3,1.1,0,1.1,-0.3
2023-10-28,02275,AK,0,0,-100,0.8,-1,0,0
2023-10-28,02282,AK,0,0,-100,0.2,-0.7,0,0
2023-10-28,02290,AK,3,2.7,200,1.1,-1.6,3.9,0.5
2023-10-28,01001,AL,12,3.1,-29.4,1.3,0,2.7,0.6
2023-10-28,01003,AL,26,3.7,-3.7,1.4,0,1.2,0.3
2023-10-28,01005,AL,12,4.3,-25,0.9,-0.2,1.5,-1.3
2023-10-28,01007,AL,49,4,2.1,1.1,-0.3,1.2,-0.1
2023-10-28,01009,AL,49,4,2.1,1.1,-0.3,1.2,-0.1
2023-10-28,01011,AL,12,3.1,-29.4,1.3,0,2.7,0.6
2023-10-28,01013,AL,0,0,-100,0.9,0.2,2,0
2023-10-28,01015,AL,2,0.7,0,1.1,0.1,2.6,0.1
2023-10-28,01017,AL,7,2.3,-30,1.6,-0.2,1.9,-0.3
2023-10-28,01019,AL,21,7.1,90.9,1,0.1,1.3,-0.5
2023-10-28,01021,AL,49,4,2.1,1.1,-0.3,1.2,-0.1
2023-10-28,01023,AL,8,4.6,33.3,0.7,0.2,0.2,-0.6
2023-10-28,01025,AL,26,3.7,-3.7,1.4,0,1.2,0.3
2023-10-28,01027,AL,8,7.7,166.7,1.9,1.3,6.2,5.6
2023-10-28,01029,AL,2,0.7,0,1.1,0.1,2.6,0.1
2023-10-28,01031,AL,12,4.3,-25,0.9,-0.2,1.5,-1.3
2023-10-28,01033,AL,9,4.4,80,1,-0.3,2.6,1.1
2023-10-28,01035,AL,39,4.7,77.3,0.9,-0.3,2.4,-0.5
2023-10-28,01037,AL,8,7.7,166.7,1.9,1.3,6.2,5.6
2023-10-28,01039,AL,12,3.1,-29.4,1.3,0,2.7,0.6
